program_name,provider,service,short_description
codebuild_project_code_review_check,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_logging_enabled,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_no_secrets_in_variables,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_older_90_days,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_s3_logs_encrypted,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_secure_coding_practices_check,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_source_repo_url_no_sensitive_credentials,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_user_controlled_buildspec,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_project_vulnerability_scan_enabled,AWS,codebuild,AWS codebuild programmable compliance check
codebuild_report_group_export_encrypted,AWS,codebuild,AWS codebuild programmable compliance check
kinesis_stream_data_retention_period,AWS,kinesis,AWS kinesis programmable compliance check
kinesis_stream_encryption_enabled,AWS,kinesis,AWS kinesis programmable compliance check
kinesis_stream_encryption_enabled,AWS,kinesis,AWS kinesis programmable compliance check
aws_organizations_multi_account_check,AWS,organizations,AWS organizations programmable compliance check
aws_organizations_multi_account_check,AWS,organizations,AWS organizations programmable compliance check
organizations_delegated_administrators,AWS,organizations,AWS organizations programmable compliance check
organizations_opt_out_ai_services_policy,AWS,organizations,AWS organizations programmable compliance check
organizations_scp_check_deny_regions,AWS,organizations,AWS organizations programmable compliance check
organizations_tag_policies_enabled,AWS,organizations,AWS organizations programmable compliance check
organizations_tag_policies_enabled,AWS,organizations,AWS organizations programmable compliance check
shield_advanced_protection_in_associated_elastic_ips,AWS,shield,AWS shield programmable compliance check
shield_advanced_protection_in_classic_load_balancers,AWS,shield,AWS shield programmable compliance check
shield_advanced_protection_in_cloudfront_distributions,AWS,shield,AWS shield programmable compliance check
shield_advanced_protection_in_global_accelerators,AWS,shield,AWS shield programmable compliance check
shield_advanced_protection_in_internet_facing_load_balancers,AWS,shield,AWS shield programmable compliance check
shield_advanced_protection_in_route53_hosted_zones,AWS,shield,AWS shield programmable compliance check
shield_dos_protection_comprehensive_check,AWS,shield,AWS shield programmable compliance check
shield_resource_availability_monitoring,AWS,shield,AWS shield programmable compliance check
directoryservice_cli_version_upgrade_check,AWS,ssm,AWS ssm programmable compliance check
fsx_lustre_client_installation_check,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_document,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_documents_set_as_public,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_managed_compliant_patching,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_patch_baseline_compliance_check,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_patch_compliance_status_check,AWS,ssm,AWS ssm programmable compliance check
workstation_os_patch_and_update_check,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_flaw_remediation_tracking,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_patch_testing_automation,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_malicious_code_protection_centralized,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_threat_response_automation,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_incident_response_plan_validation,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_maintenance_activity_tracking,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_maintenance_tool_approval_workflow,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_supply_chain_integrity_monitoring,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_risk_mitigation_automation,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_privacy_consent_management,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_physical_security_management,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_program_management_automation,AWS,ssm,AWS ssm programmable compliance check
