id,title,final_approach,program_name,source
2.1.1,Enable audit Logs,Automated,azure_aks_control_plane_diagnostics_audit_logs_enabled,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.1,Ensure that the kubeconfig file permissions are set to 644 or more restrictive,Automated,azure_aks_node_kubeconfig_permission_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.2,Ensure that the kubelet kubeconfig file ownership is set to root:root,Automated,azure_databricks_network_security_groups_configured,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.3,Ensure that the azure.json file has permissions set to 644 or more restrictive,Automated,azure_databricks_cluster_verify_encryption,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.4,Ensure that the azure.json file ownership is set to root:root,Automated,azure_databricks_scim_provisioning_enabled,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.1,Ensure that the --anonymous-auth argument is set to false,Automated,azure_aks_kubelet_anonymous_auth_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.2,Ensure that the --authorization-mode argument is not set to AlwaysAllow,Automated,azure_aks_cluster_authorization_mode_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.3,Ensure that the --client-ca-file argument is set as appropriate,Automated,azure_aks_kubelet_client_ca_file_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.4,Ensure that the --read-only-port is secured,Automated,azure_aks_kubelet_read_only_port_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.5,Ensure that the --streaming-connection-idle-timeout argument is not set to 0,Manual,,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.6,Ensure that the --make-iptables-util-chains argument is set to true,Manual,,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.7,Ensure that the --eventRecordQPS argument is set to 0 or a level which ensures appropriate event capture,Automated,azure_aks_kubelet_event_record_qps_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.8,Ensure that the --rotate-certificates argument is not set to false,Automated,azure_aks_kubelet_rotate_certificates_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.9,Ensure that the RotateKubeletServerCertificate argument is set to true,Automated,azure_aks_kubelet_rotate_certificate_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.1,Ensure that the cluster-admin role is only used where required,Automated,azure_aks_rbac_cluster_admin_role_verified,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.2,Minimize access to secrets,Automated,azure_aks_secrets_access_minimized,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.3,Minimize wildcard use in Roles and ClusterRoles,Automated,azure_aks_roles_clusterroles_minimized_wildcards,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.4,Minimize access to create pods,Automated,azure_aks_pod_creation_access_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.5,Ensure that default service accounts are not actively used,Automated,azure_aks_service_account_default_not_in_use,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.6,Ensure that Service Account Tokens are only mounted where necessary,Automated,azure_aks_pod_service_account_token_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.1,Minimize the admission of privileged containers,Automated,azure_aks_privileged_containers_restriction_enforced,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.2,Minimize the admission of containers wishing to share the host process ID namespace,Automated,azure_aks_pod_hostpid_restriction_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.3,Minimize the admission of containers wishing to share the host IPC namespace,Automated,azure_aks_pod_hostipc_restriction_verified,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.4,Minimize the admission of containers wishing to share the host network namespace,Automated,azure_aks_pod_host_network_policy_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
