Requirement_ID,Family_Code,Family_Name,Requirement_Title,Status,NIST_800-53_Mapping,Description
03.01.01,AC,Access Control,Account Management,active,AC-2,Limit system access to authorized users and processes acting on behalf of authorized users
03.01.02,AC,Access Control,Access Enforcement,active,AC-3,Enforce approved authorizations for logical access
03.01.03,AC,Access Control,Information Flow Enforcement,active,AC-4,Control information flow within systems and between interconnected systems
03.01.04,AC,Access Control,Separation of Duties,active,AC-5,Separate duties of individuals to reduce risk of malevolent activity
03.01.05,AC,Access Control,Least Privilege,active,AC-6,Employ principle of least privilege including specific security functions
03.01.06,AC,Access Control,Least Privilege – Privileged Accounts,active,AC-6(1),Authorize access to security functions and security-relevant information
03.01.07,AC,Access Control,Least Privilege – Privileged Functions,active,AC-6(2),Require privileged accounts to use non-privileged accounts for non-privileged functions
03.01.08,AC,Access Control,Unsuccessful Logon Attempts,active,AC-7,Enforce limit of consecutive invalid logon attempts
03.01.09,AC,Access Control,System Use Notification,active,AC-8,Display system use notification message before granting access
03.01.10,AC,Access Control,Device Lock,active,AC-11(1),Prevent further access by initiating session lock after defined period
03.01.11,AC,Access Control,Session Termination,active,AC-12,Automatically terminate user session after defined conditions or trigger events
03.01.12,AC,Access Control,Remote Access,active,AC-17,Authorize and monitor remote access sessions
03.01.13,AC,Access Control,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.01.14,AC,Access Control,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.01.15,AC,Access Control,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.01.16,AC,Access Control,Wireless Access,active,AC-18,Authorize and monitor wireless access
03.01.17,AC,Access Control,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.01.18,AC,Access Control,Access Control for Mobile Devices,active,AC-19,Establish usage restrictions and implementation guidance for mobile devices
03.01.19,AC,Access Control,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.01.20,AC,Access Control,Use of External Systems,active,AC-20,Establish terms and conditions for authorized individuals using external systems
03.01.21,AC,Access Control,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.01.22,AC,Access Control,Publicly Accessible Content,active,AC-22,Designate individuals authorized to post information onto publicly accessible systems
03.02.01,AT,Awareness and Training,Literacy Training and Awareness,active,AT-2,Provide literacy training on recognizing and reporting security incidents
03.02.02,AT,Awareness and Training,Role-Based Training,active,AT-3,Provide role-based security and privacy training
03.02.03,AT,Awareness and Training,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.03.01,AU,Audit and Accountability,Event Logging,active,AU-2,Create and retain system audit logs
03.03.02,AU,Audit and Accountability,Audit Record Content,active,AU-3,Ensure audit records contain information to establish what event occurred
03.03.03,AU,Audit and Accountability,Audit Record Generation,active,AU-12,Provide audit record generation capability for defined events
03.03.04,AU,Audit and Accountability,Response to Audit Logging Process Failures,active,AU-5,Alert in event of audit logging process failure
03.03.05,AU,Audit and Accountability,Audit Record Review Analysis and Reporting,active,AU-6,Review and analyze system audit records
03.03.06,AU,Audit and Accountability,Audit Record Reduction and Report Generation,active,AU-7,Provide and implement audit record reduction and report generation capability
03.03.07,AU,Audit and Accountability,Time Stamps,active,AU-8,Provide time stamps for use in audit record generation
03.03.08,AU,Audit and Accountability,Protection of Audit Information,active,AU-9,Protect audit information and audit logging tools from unauthorized access
03.03.09,AU,Audit and Accountability,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.04.01,CM,Configuration Management,Baseline Configuration,active,CM-2,Develop document and maintain baseline configuration
03.04.02,CM,Configuration Management,Configuration Settings,active,CM-6,Establish and document configuration settings
03.04.03,CM,Configuration Management,Configuration Change Control,active,CM-3,Track review and approve or disapprove changes to the system
03.04.04,CM,Configuration Management,Impact Analyses,active,CM-4,Analyze changes to the system to determine potential security impacts
03.04.05,CM,Configuration Management,Access Restrictions for Change,active,CM-5,Define document approve and enforce restrictions for changes
03.04.06,CM,Configuration Management,Least Functionality,active,CM-7,Configure systems to provide only essential capabilities
03.04.07,CM,Configuration Management,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.04.08,CM,Configuration Management,Authorized Software – Allow by Exception,active,CM-7(5),Identify and allow execution of authorized software programs
03.04.09,CM,Configuration Management,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.04.10,CM,Configuration Management,System Component Inventory,active,CM-8,Develop and document inventory of system components
03.04.11,CM,Configuration Management,Information Location,active,CM-8(1),Identify location of CUI within the system
03.04.12,CM,Configuration Management,System and Component Configuration for High-Risk Areas,active,CM-7(2),Employ additional safeguards for systems or components in high-risk areas
03.05.01,IA,Identification and Authentication,User Identification and Authentication,active,IA-2,Identify and authenticate users or processes
03.05.02,IA,Identification and Authentication,Device Identification and Authentication,active,IA-3,Identify and authenticate devices before establishing connection
03.05.03,IA,Identification and Authentication,Multi-Factor Authentication,active,IA-2(1) IA-2(2),Implement multi-factor authentication for local and network access
03.05.04,IA,Identification and Authentication,Replay-Resistant Authentication,active,IA-2(8),Implement replay-resistant authentication mechanisms
03.05.05,IA,Identification and Authentication,Identifier Management,active,IA-4,Manage system identifiers by receiving authorization and issuing to intended party
03.05.06,IA,Identification and Authentication,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.05.07,IA,Identification and Authentication,Password Management,active,IA-5(1),Enforce minimum password complexity and change of characters
03.05.08,IA,Identification and Authentication,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.05.09,IA,Identification and Authentication,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.05.10,IA,Identification and Authentication,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.05.11,IA,Identification and Authentication,Authentication Feedback,active,IA-6,Obscure feedback of authentication information during authentication process
03.05.12,IA,Identification and Authentication,Authenticator Management,active,IA-5,Manage system authenticators by verifying identity before issuing
03.06.01,IR,Incident Response,Incident Handling,active,IR-4,Implement incident handling capability for security incidents
03.06.02,IR,Incident Response,Incident Monitoring Reporting and Response Assistance,active,IR-7,Track document and report incidents
03.06.03,IR,Incident Response,Incident Response Testing,active,IR-3(2),Test incident response capability using defined tests
03.06.04,IR,Incident Response,Incident Response Training,active,IR-2(1),Provide incident response training to system users
03.06.05,IR,Incident Response,Incident Response Plan,active,IR-8,Develop and implement incident response plan
03.07.01,MA,Maintenance,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.07.02,MA,Maintenance,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.07.03,MA,Maintenance,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.07.04,MA,Maintenance,Maintenance Tools,active,MA-3,Inspect maintain and remove maintenance tools
03.07.05,MA,Maintenance,Nonlocal Maintenance,active,MA-4,Require multifactor authentication for remote maintenance sessions
