csp,unique_compliance_id,framework,control_id,title,missing_check_name,suggested_rule_id,priority,rule_type,notes
gcp,cis_gcp_1.8,CIS_GCP,1.8,Ensure That Separation of Duties Is Enforced While Assigning  Service Account Related Roles to Users,gcp_iam_service_account_sod_check,gcp.iam.service.account_sod_check,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_4.6,CIS_GCP,4.6,Ensure That IP Forwarding Is Not Enabled on Instances,gcp_compute_instance_ip_forwarding_check,gcp.compute.instance.ip_forwarding_check,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.1.4,CIS_GCP,5.1.4,Ensure only trusted container images are used,gcp_gke_binary_authorization_policy_compliance,gcp.gke.binary.authorization_policy_compliance,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.10.1,CIS_GCP,5.10.1,Ensure Kubernetes Web UI is Disabled,gcp_gke_cluster_kubernetes_dashboard_disabled,gcp.gke.cluster.kubernetes_dashboard_disabled,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.10.2,CIS_GCP,5.10.2,Ensure that Alpha clusters are not used for production  workloads,gcp_gke_cluster_alpha_features_disabled_for_production,gcp.gke.cluster.alpha_features_disabled_for_production,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.10.3,CIS_GCP,5.10.3,Consider GKE Sandbox for running untrusted workloads,gcp_gke_node_pool_gke_sandbox_enabled,gcp.gke.node.pool_gke_sandbox_enabled,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.10.4,CIS_GCP,5.10.4,Ensure use of Binary Authorization,gcp_gke_cluster_binary_authorization_enforced,gcp.gke.cluster.binary_authorization_enforced,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.4.2,CIS_GCP,5.4.2,Ensure Control Plane Authorized Networks is Enabled,gcp_gke_cluster_control_plane_authorized_networks_check,gcp.gke.cluster.control_plane_authorized_networks_check,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.4.5,CIS_GCP,5.4.5,Ensure use of Google-managed SSL Certificates,gcp_gke_ingress_google_managed_ssl_certificates_compliance,gcp.gke.ingress.google_managed_ssl_certificates_compliance,1,config,Generated from compliance_agent check name; refine during rule development
gcp,cis_gcp_5.5.2,CIS_GCP,5.5.2,Ensure Node Auto-Repair is Enabled for GKE Nodes,gcp_gke_node_pool_auto_repair_status_check,gcp.gke.node.pool_auto_repair_status_check,1,config,Generated from compliance_agent check name; refine during rule development
