rule_id,provider,service,category,severity,title,description,check_type,source_file
gcp.accessapproval.approval_request.enrollment_configured,gcp,accessapproval,approval_request,MEDIUM,,,config,gcp_rule_check/accessapproval/accessapproval.checks.yaml
gcp.accesscontextmanager.activity.delete_service_perimeter,gcp,accesscontextmanager,activity,MEDIUM,,,config,gcp_rule_check/accesscontextmanager/accesscontextmanager.checks.yaml
gcp.accesscontextmanager.activity.update_service_perimeter,gcp,accesscontextmanager,activity,MEDIUM,,,config,gcp_rule_check/accesscontextmanager/accesscontextmanager.checks.yaml
gcp.aiplatform.auto_ml_job.automl_logs_enabled,gcp,aiplatform,auto_ml_job,MEDIUM,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.auto_ml_job.automl_private_networking_enforced,gcp,aiplatform,auto_ml_job,HIGH,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.auto_ml_job.automl_roles_least_privilege,gcp,aiplatform,auto_ml_job,HIGH,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.batch_prediction_job.transform_job_input_output_encrypted,gcp,aiplatform,batch_prediction_job,MEDIUM,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.batch_prediction_job.transform_job_logs_enabled,gcp,aiplatform,batch_prediction_job,MEDIUM,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.batch_prediction_job.transform_job_private_networking_enforced,gcp,aiplatform,batch_prediction_job,HIGH,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.batch_prediction_job.transform_job_roles_least_privilege,gcp,aiplatform,batch_prediction_job,HIGH,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.endpoint.endpoint_authn_required,gcp,aiplatform,endpoint,HIGH,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
gcp.aiplatform.endpoint.endpoint_authz_policies_enforced,gcp,aiplatform,endpoint,HIGH,,,config,gcp_rule_check/aiplatform/aiplatform.checks.yaml
