check_name,matched_rule_ids,method,confidence,reasoning
k8s_admission_control_hostipc_restriction,k8s.admission.control.hostipc_restriction,token_match_high,1.00,Jaccard=1.00
k8s_admission_control_hostpath_volumes_restricted,k8s.admission.control.hostpath_volumes_restricted,token_match_high,1.00,Jaccard=1.00
k8s_admission_control_windows_hostprocess_restriction,,ai_rejected,none,"The check name specifies 'windows_hostprocess_restriction', which is a distinct security control for Windows containers, while all candidate rules address different admission controls like hostIPC, ho"
k8s_all_resources_secrets_as_env_vars_check,k8s.general.resource.secrets_as_env_vars_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_admission_control_policy_check,k8s.apiserver.server.admission_control_policy_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_admission_control_service_account_check,k8s.apiserver.server.admission_control_service_account_check,token_match_high,0.75,Jaccard=0.75
k8s_api_server_admission_controller_image_policy_webhook_configured,k8s.apiserver.server.admission_controller_image_policy_webhook_configured,token_match_high,0.78,Jaccard=0.78
k8s_api_server_admission_plugin_namespace_lifecycle_enabled,k8s.apiserver.server.admission_plugin_namespace_lifecycle_enabled,token_match_high,0.75,Jaccard=0.75
k8s_api_server_admission_plugins_always_pull_images_set,k8s.apiserver.server.admission_plugins_always_pull_images_set,token_match_high,0.80,Jaccard=0.80
k8s_api_server_admission_plugins_check,k8s.apiserver.server.admission_plugins_check,token_match_high,0.67,Jaccard=0.67
k8s_api_server_admission_plugins_event_rate_limit_set,k8s.apiserver.server.admission_plugins_event_rate_limit_set,token_match_high,0.80,Jaccard=0.80
k8s_api_server_admission_plugins_node_restriction_check,k8s.apiserver.server.admission_plugins_node_restriction_check,token_match_high,0.75,Jaccard=0.75
k8s_api_server_admission_plugins_podsecuritypolicy_check,k8s.apiserver.server.admission_plugins_podsecuritypolicy_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_admission_plugins_security_context_deny_check,k8s.apiserver.server.admission_plugins_security_context_deny_check,token_match_high,0.78,Jaccard=0.78
k8s_api_server_args_profiling_disabled,k8s.apiserver.server.args_profiling_disabled,token_match_high,0.71,Jaccard=0.71
k8s_api_server_args_token_auth_file_check,k8s.apiserver.server.token_auth_file_not_set,ai_verified,high,Both the check name and the rule focus on the presence or configuration of the token_auth_file argument for the Kubernetes API server.
k8s_api_server_audit_log_maxage_compliance_check,k8s.apiserver.server.audit_log_maxage_compliance_check,token_match_high,0.75,Jaccard=0.75
k8s_api_server_audit_log_maxbackup_check,k8s.apiserver.server.audit_log_maxbackup_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_audit_log_maxbackup_retent,k8s.apiserver.server.audit_log_maxbackup_retent,token_match_high,0.75,Jaccard=0.75
k8s_api_server_audit_log_path_check,k8s.apiserver.server.audit_log_path_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_audit_policy_file_configured,k8s.apiserver.server.audit_policy_file_configured,token_match_high,0.71,Jaccard=0.71
k8s_api_server_audit_policy_verification,k8s.apiserver.server.audit_policy_verification,token_match_high,0.71,Jaccard=0.71
k8s_api_server_authorization_mode_check,k8s.apiserver.authorization.mode_check,ai_verified,high,"The check name and rule ID both directly target the Kubernetes API server's authorization mode configuration, indicating they perform the same security validation."
k8s_api_server_authorization_mode_includes_node,k8s.apiserver.server.authorization_mode_includes_node,token_match_high,0.75,Jaccard=0.75
k8s_api_server_client_ca_file_configuration_check,k8s.apiserver.server.client_ca_file_configuration_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_client_ca_file_presence_check,k8s.apiserver.server.client_ca_file_presence_check,token_match_high,0.75,Jaccard=0.75
k8s_api_server_config_service_account_lookup_enabled,k8s.apiserver.service.account_lookup_enabled,ai_verified,high,"The check name directly matches the rule ID in service (k8s API server), action (service account lookup), and target (enabled status), indicating the same security validation."
k8s_api_server_deny_service_external_ips_not_set,k8s.apiserver.server.deny_service_external_ips_not_set,token_match_high,0.78,Jaccard=0.78
k8s_api_server_enable_admission_plugins_namespace_lifecycle_check,k8s.apiserver.server.admission_plugin_namespace_lifecycle_enabled,ai_verified,high,"The check name specifically targets the namespace lifecycle admission plugin, which matches exactly with the top candidate rule that focuses on enabling this specific plugin."
k8s_api_server_encryption_provider_config_check,k8s.apiserver.server.encryption_provider_config_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_encryption_provider_config_verification,k8s.apiserver.server.encryption_provider_config_check,token_match_high,0.62,Jaccard=0.62
k8s_api_server_encryption_provider_verification,k8s.apiserver.server.encryption_provider_verification,token_match_high,0.71,Jaccard=0.71
k8s_api_server_etcd_cafile_tls_verification,k8s.apiserver.server.etcd_cafile_tls_verification,token_match_high,0.75,Jaccard=0.75
