rule_id,provider,complexity,severity,rule_type,controls_unlocked,frameworks_unlocked,framework_sample,control_sample
ibm.security_advisor.is_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,70,6,CANADA_PBMM;FedRAMP_Moderate;HIPAA;NIST_800_171;NIST_800_53,CANADA_PBMM/CCCS CA-2;CANADA_PBMM/CCCS RA-1;CANADA_PBMM/CCCS RA-5
ibm.iam.account.password_policy_minimum_length_configured,ibm,L2_API_CONFIG,MEDIUM,config,69,6,CANADA_PBMM;FedRAMP_Moderate;HIPAA;NIST_800_171;NIST_800_53,CANADA_PBMM/CCCS AC-2(10);CANADA_PBMM/CCCS AC-2(2);CANADA_PBMM/CCCS AC-2(3)
alicloud.ram.password.policy_minimum_length_check,alicloud,L2_API_CONFIG,MEDIUM,config,68,6,CANADA_PBMM;CIS_ALICLOUD;FedRAMP_Moderate;NIST_800_171;NIST_800_53,CANADA_PBMM/CCCS AC-2(10);CANADA_PBMM/CCCS AC-2(2);CANADA_PBMM/CCCS AC-2(3)
gcp.securitycenter.scc.is_enabled,gcp,L1_API_BOOLEAN,MEDIUM,config,63,4,CANADA_PBMM;CIS_OCI;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS IR-4;CANADA_PBMM/CCCS SI-6;CIS_OCI/4.14
ibm.activity_tracker.log_file_validation_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,53,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS AU-9;CANADA_PBMM/CCCS SI-4;FedRAMP_Moderate/AU-4
alicloud.securitycenter.service.is_activated_check,alicloud,L2_API_CONFIG,MEDIUM,config,53,3,CIS_AZURE;FedRAMP_Moderate;NIST_800_53,CIS_AZURE/8.1.16;FedRAMP_Moderate/RA-3;FedRAMP_Moderate/RA-3 (1)
ibm.iam.password_policy_reuse_prevention_configured,ibm,L2_API_CONFIG,MEDIUM,config,42,6,CIS_OCI;FedRAMP_Moderate;HIPAA;NIST_800_171;NIST_800_53,CIS_OCI/1.6;FedRAMP_Moderate/IA-5;FedRAMP_Moderate/IA-5 (1)
ibm.iam.password.policy_expires_passwords_within_90_days_or_less_configured,ibm,L2_API_CONFIG,MEDIUM,config,41,5,CIS_OCI;FedRAMP_Moderate;NIST_800_171;NIST_800_53;PCI_DSS,CIS_OCI/1.11;CIS_OCI/1.5;FedRAMP_Moderate/IA-5
ibm.iam.password.policy_symbol_configured,ibm,L2_API_CONFIG,MEDIUM,config,38,6,CANADA_PBMM;CISA_CE;FedRAMP_Moderate;HIPAA;NIST_800_171,CANADA_PBMM/CCCS IA-5(3);CISA_CE/Your Surroundings-3;FedRAMP_Moderate/IA-5
azure.monitor.activity_log.profile_log_retention,azure,L6_CIEM_EVENT,MEDIUM,ciem,37,3,CIS_GCP;FedRAMP_Moderate;NIST_800_53,CIS_GCP/2.14;FedRAMP_Moderate/SA-9;FedRAMP_Moderate/SA-9 (1)
gcp.securitycenter.scanner.enabled,gcp,L2_API_CONFIG,MEDIUM,config,36,3,FedRAMP_Moderate;NIST_800_171;NIST_800_53,FedRAMP_Moderate/RA-3;FedRAMP_Moderate/RA-3 (1);NIST_800_171/3_7_4
alicloud.ram.password.policy_lowercase_check,alicloud,L2_API_CONFIG,MEDIUM,config,35,4,CIS_ALICLOUD;FedRAMP_Moderate;NIST_800_171;NIST_800_53,CIS_ALICLOUD/1.8;FedRAMP_Moderate/IA-5;FedRAMP_Moderate/IA-5 (1)
