csp,rule_id,rule_type,intent,frameworks,compliance_ids,framework_applicable,framework_detail,control_text_excerpt,catalog_candidates,auto_category
alicloud,alicloud.actiontrail.activity_log.critical_gap,ciem,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,PCI_DSS,PCI_DSS/10.2.2,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.actiontrail.activity_log.ram_change,ciem,Track RAM (Resource Access Management) policy changes and resource directory folder modifications to log system changes.,NIST_800_171,NIST_800_171/3.4.3,APPLIES,NIST_800_171 is cross-CSP,,alicloud.actiontrail.vpc.change_monitoring (shared:change),GENUINELY_NEW
alicloud,alicloud.actiontrail.activity_log.review_anomaly,ciem,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.,PCI_DSS,PCI_DSS/10.4.2.1,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.actiontrail.audit.console_signin_privileged,ciem,Detect direct policy attachments to users and privileged console sign-ins without role-based controls.,CANADA_PBMM,CANADA_PBMM/AC-6(10),APPLIES,CANADA_PBMM is cross-CSP,,"alicloud.actiontrail.logservice.failed_console_signin_alerts (shared:console,signin); alicloud.actiontrail.logs.monitor_mfa_signin_alert (shared:signin)",AMBIGUOUS
alicloud,alicloud.actiontrail.chain.assume_role_modify,ciem,Detect attachment of high-privilege RAM policies to users/roles and role assumption followed by policy modifications.,CIS,CIS/5.2.10,MISMATCH,"CIS control CIS/5.2.10 found in ['azure', 'k8s'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.actiontrail.chain.audit_circumvent,ciem,"Detect ActionTrail trail deletions, stops, or updates and patterns of audit trail disruption combined with sensitive management actions.",CIS,CIS/3.2.2,APPLIES,CIS control CIS/3.2.2 found in CIS-alicloud,[CIS-alicloud 3.2.2] Ensure that the audit policy covers key security concerns — Ensure	that	the	audit	policy	created	for	the	cluster	covers	key	security	concerns.,alicloud.actiontrail.privacy.audit_logs_centralized_and_encrypted (shared:audit),GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.delete_malware_logs,ciem,Detect stopping of Security Center agents and chained deletion of ActionTrail logs related to malware alerts.,CANADA_PBMM,CANADA_PBMM/SI-3(7),APPLIES,CANADA_PBMM is cross-CSP,,alicloud.actiontrail.privacy.audit_logs_centralized_and_encrypted (shared:logs),GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.log_suppression,ciem,Detect ActionTrail configuration changes that reduce log backups and chained suppression of audit trails.,CIS,CIS/1.2.22,APPLIES,CIS control CIS/1.2.22 found in CIS-alicloud,[CIS-alicloud 1.2.22] Ensure that the --audit-log-maxbackup argument is set to 10 or as appropriate — Retain	10	or	an	appropriate	number	of	old	log	files.,,GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.privilege_abuse,ciem,Detect RAM policy attachments and chained high-risk actions indicating privilege abuse.,CANADA_PBMM,CANADA_PBMM/AC-6(1),APPLIES,CANADA_PBMM is cross-CSP,,alicloud.actiontrail.threat_detection.privilege_escalation_detected (shared:privilege); alicloud.actiontrail.threat.detection_privilege_escalation (shared:privilege); alicloud.actiontrail.delivery.channel_destination_access_least_privilege (shared:privilege); alicloud.actiontrail.configuration.config_delivery_destination_access_least_privilege (shared:privilege),GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.ram_policy_evasion,ciem,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges,PCI_DSS,PCI_DSS/7.2.4,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
