csp,catalog_rule_id,service,category,compliance_ids,compliance_frameworks,gap_reason,suggested_rule_type,priority,notes
aws,aws.qldb.ledger_encryption_at_rest_enabled,qldb,,cis_aws_aws_11.3_0113,CIS AWS,No config or CIEM rule exists for QLDB service,config,medium,CIS AWS Foundations Benchmark section 11 — QLDB scanner rules needed
aws,aws.qldb.ledger_iam_access_control_enforced,qldb,,cis_aws_aws_11.5_0115,CIS AWS,No config or CIEM rule exists for QLDB service,config,medium,CIS AWS Foundations Benchmark section 11 — QLDB scanner rules needed
aws,aws.qldb.ledger_journal_export_configured,qldb,,cis_aws_aws_11.7_0117,CIS AWS,No config or CIEM rule exists for QLDB service,config,medium,CIS AWS Foundations Benchmark section 11 — QLDB scanner rules needed
aws,aws.qldb.logging_and_monitoring_compliance_check,qldb,,cis_aws_aws_11.6_0116,CIS AWS,No config or CIEM rule exists for QLDB service,config,medium,CIS AWS Foundations Benchmark section 11 — QLDB scanner rules needed
aws,aws.qldb.network.access_secure_configuration_check,qldb,,cis_aws_aws_11.2_0112,CIS AWS,No config or CIEM rule exists for QLDB service,config,medium,CIS AWS Foundations Benchmark section 11 — QLDB scanner rules needed
k8s,k8s.admission.controller_configuration_validation,admission,security,nist_800_53_rev5_multi_cloud_CM-6-c_0399,nist_800_53,No config or CIEM rule found for k8s admission service,config,medium,
k8s,k8s.admission.controller_security_updates_applied,admission,security,nist_800_171_r2_multi_cloud_3_14_4_3.14.4_Update_malicious_code_protection_me_0017,nist_800_171,No config or CIEM rule found for k8s admission service,config,medium,
k8s,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.audited,admission.kyverno_policy,,cis_kubernetes_kubernetes_1.2.13_0034,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s admission.kyverno_policy service,config,medium,
k8s,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.tls_validation_validated,admission.mutating_webhook,,cis_kubernetes_kubernetes_1.2.16_0037,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s admission.mutating_webhook service,config,medium,
k8s,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.audited,admission.opa_constraint,,cis_kubernetes_kubernetes_1.6.8_0177,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s admission.opa_constraint service,config,medium,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.audited,admission.opa_constraint,,cis_kubernetes_kubernetes_3.1.9_0202,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s admission.opa_constraint service,config,medium,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.audited,admission.validating_webhook,,cis_kubernetes_kubernetes_3.2.2_0073,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s admission.validating_webhook service,config,medium,
k8s,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.audited,admission.validating_webhook,,cis_kubernetes_kubernetes_5.5.1_0130,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s admission.validating_webhook service,config,medium,
k8s,k8s.api.certificate.authority_validity_check,api,security,cis_kubernetes_kubernetes_1.1.22_0141,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api service,config,medium,
k8s,k8s.api.key.verification,api,security,cis_kubernetes_kubernetes_1.2.4_0025,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api service,config,medium,
k8s,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.enforced,api.admission_controller,,cis_kubernetes_kubernetes_1.1.25_0144,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api.admission_controller service,config,medium,
k8s,k8s.k8s.identity_access.authorization.admission_controller_enabled.audited,api.admission_controller,,cis_kubernetes_kubernetes_1.3.2_0053,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api.admission_controller service,config,medium,
k8s,k8s.k8s.identity_access.authorization.admission_controller_enabled.enabled,api.admission_controller,,cis_kubernetes_kubernetes_1.3.7_0058,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api.admission_controller service,config,medium,
k8s,k8s.k8s.cluster_component_security.api_server_security.anonymous_access_disabled.anonymous_auth_validated,api.api_server,,cis_kubernetes_kubernetes_2.1.2_0179;cis_kubernetes_kubernetes_1.2.1_0022,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api.api_server service,config,medium,
k8s,k8s.k8s.cluster_component_security.api_server_security.anonymous_access_disabled.audited,api.api_server,,cis_kubernetes_kubernetes_1.2.17_0038,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api.api_server service,config,medium,
k8s,k8s.k8s.cluster_component_security.api_server_security.anonymous_access_disabled.enabled,api.api_server,,cis_kubernetes_kubernetes_3.1.19_0212,cis_kubernetes_kubernetes,No config or CIEM rule found for k8s api.api_server service,config,medium,
