catalog_rule_id,service,category,provider_service,catalog_compliance_ids,has_compliance_ids,config_covered,config_rule_count,config_best_confidence,config_rule_ids,ciem_via_yaml_covered,ciem_via_yaml_count,ciem_via_yaml_best_conf,ciem_via_yaml_rule_ids,ciem_direct_covered,ciem_direct_count,ciem_direct_best_comp_j,ciem_direct_best_tok_j,ciem_direct_rule_ids,coverage_status,covered
aws.No.checks.defined,No,security,"boto3.client(""No"")",nist_800_171_r2_multi_cloud_3_13_4_3.13.4_Prevent_unauthorized_and_unintended_0010,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.accessanalyzer.enabled:nan,accessanalyzer,,"boto3.client(""accessanalyzer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.accessanalyzer.enabled_without_findings:nan,accessanalyzer,,"boto3.client(""accessanalyzer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.account.security_contact_info_check,account,,"boto3.client(""account"")",cis_aws_aws_2.2_0002,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
organizations.account.part.of.organizations,account,security,"boto3.client(""account"")",pci_dss_v4_multi_cloud_7.2.5.1_0095,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
s3.account.level.public.access.blocks,account,security,"boto3.client(""account"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.acm.certificate.not_expired,acm,secrets,"boto3.client(""acm"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.acm.certificates.expiration.check,acm,security,"boto3.client(""acm"")",nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008;nist_800_171_r2_multi_cloud_3_13_8_3.13.8_Implement_cryptographic_mechanisms_0013,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
apigatewayv2.api.access.logging.enabled,api,security,"boto3.client(""api"")",pci_dss_v4_multi_cloud_10.2.1.1_0144,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.api_key.rotation_policy_defined,api_gateway,platform,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.api_key.scopes_least_privilege,api_gateway,platform,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
