cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,aws_mapped_compliance_functions,aws_mapped_compliance_ids
aws,aws.api_gateway.stage.api_access_logging_enabled,aws.api_gateway.stage.api_access_logging_enabled,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_access_logging_enabled,aws.api_gatewayv2.stage.api_access_logging_enabled,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.cloudwatch.metric.api_access_logging_enabled,aws.cloudwatch.metric.api_access_logging_enabled,cloudwatch,api_security,"boto3.client(""cloudwatch"")",,
aws,aws.api_gateway.stage.api_access_log_sink_configured,aws.api_gateway.stage.api_access_log_sink_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_access_log_sink_configured,aws.api_gatewayv2.stage.api_access_log_sink_configured,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.cloudwatch.metric.api_access_log_sink_configured,aws.cloudwatch.metric.api_access_log_sink_configured,cloudwatch,api_security,"boto3.client(""cloudwatch"")",,
aws,aws.api_gateway.stage.api_access_log_fields_identity_present,aws.api_gateway.stage.api_access_log_fields_identity_present,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_access_log_fields_identity_present,aws.api_gatewayv2.stage.api_access_log_fields_identity_present,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.cloudwatch.metric.api_access_log_fields_identity_present,aws.cloudwatch.metric.api_access_log_fields_identity_present,cloudwatch,api_security,"boto3.client(""cloudwatch"")",,
aws,aws.api_gateway.stage.api_execution_logging_level_minimum_error,aws.api_gateway.stage.api_execution_logging_level_minimum_error,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error,aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.cloudwatch.metric.api_execution_logging_level_minimum_error,aws.cloudwatch.metric.api_execution_logging_level_minimum_error,cloudwatch,api_security,"boto3.client(""cloudwatch"")",,
aws,aws.api_gateway.stage.api_logs_retention_days_minimum,aws.api_gateway.stage.api_logs_retention_days_minimum,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_logs_retention_days_minimum,aws.api_gatewayv2.stage.api_logs_retention_days_minimum,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.cloudwatch.metric.api_logs_retention_days_minimum,aws.cloudwatch.metric.api_logs_retention_days_minimum,cloudwatch,api_security,"boto3.client(""cloudwatch"")",,
aws,aws.api_gateway.throttle.api_stage_burst_limit_configured,aws.api_gateway.throttle.api_stage_burst_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.usage_plan.api_stage_burst_limit_configured,aws.api_gateway.usage_plan.api_stage_burst_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_stage_burst_limit_configured,aws.api_gatewayv2.stage.api_stage_burst_limit_configured,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.api_gateway.throttle.api_stage_rate_limit_configured,aws.api_gateway.throttle.api_stage_rate_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.usage_plan.api_stage_rate_limit_configured,aws.api_gateway.usage_plan.api_stage_rate_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_stage_rate_limit_configured,aws.api_gatewayv2.stage.api_stage_rate_limit_configured,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.api_gateway.throttle.api_usage_plan_required_for_api_keys,aws.api_gateway.throttle.api_usage_plan_required_for_api_keys,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys,aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys,aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.api_gateway.throttle.api_quota_limit_configured,aws.api_gateway.throttle.api_quota_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.usage_plan.api_quota_limit_configured,aws.api_gateway.usage_plan.api_quota_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_quota_limit_configured,aws.api_gatewayv2.stage.api_quota_limit_configured,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.api_gateway.throttle.api_stage_throttle_overrides_not_unbounded,aws.api_gateway.throttle.api_stage_throttle_overrides_not_unbounded,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.usage_plan.api_stage_throttle_overrides_not_unbounded,aws.api_gateway.usage_plan.api_stage_throttle_overrides_not_unbounded,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gatewayv2.stage.api_stage_throttle_overrides_not_unbounded,aws.api_gatewayv2.stage.api_stage_throttle_overrides_not_unbounded,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,
aws,aws.api_gateway.request_validator.api_request_schema_validation_enabled,aws.api_gateway.request_validator.api_request_schema_validation_enabled,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.request_validator.api_response_schema_validation_enabled,aws.api_gateway.request_validator.api_response_schema_validation_enabled,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.request_validator.api_parameters_validation_enabled,aws.api_gateway.request_validator.api_parameters_validation_enabled,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.request_validator.api_content_type_whitelist_enforced,aws.api_gateway.request_validator.api_content_type_whitelist_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.request_validator.api_request_body_size_limit_configured,aws.api_gateway.request_validator.api_request_body_size_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.api_gateway.request_validator.api_required_security_headers_enforced,aws.api_gateway.request_validator.api_required_security_headers_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,
aws,aws.backup.backup_plan.policy_assignment_complete,aws.backup.backup_plan.policy_assignment_complete,backup,resilience_recovery,"boto3.client(""backup"")",,
aws,aws.backup.backup_plan.unprotected_assets_alerting_enabled,aws.backup.backup_plan.unprotected_assets_alerting_enabled,backup,resilience_recovery,"boto3.client(""backup"")",,
aws,aws.backup.backup_plan.job_success_rate_minimum,aws.backup.backup_plan.job_success_rate_minimum,backup,resilience_recovery,"boto3.client(""backup"")",,
aws,aws.backup.backup_plan.last_backup_recency_within_days,aws.backup.backup_plan.last_backup_recency_within_days,backup,resilience_recovery,"boto3.client(""backup"")",,
aws,aws.backup.backup_plan.failed_jobs_alerting_enabled,aws.backup.backup_plan.failed_jobs_alerting_enabled,backup,resilience_recovery,"boto3.client(""backup"")",,
aws,aws.backup.backup_plan.resource_discovery_synced,aws.backup.backup_plan.resource_discovery_synced,backup,resilience_recovery,"boto3.client(""backup"")",,
aws,aws.backup.backup_job.alert_rules_for_job_failures_configured,aws.backup.backup_job.alert_rules_for_job_failures_configured,backup,backup,"boto3.client(""backup"")",,
aws,aws.backup.backup_job.alert_rules_for_sla_breach_configured,aws.backup.backup_job.alert_rules_for_sla_breach_configured,backup,backup,"boto3.client(""backup"")",,
aws,aws.backup.backup_job.alert_destinations_configured,aws.backup.backup_job.alert_destinations_configured,backup,backup,"boto3.client(""backup"")",,
aws,aws.backup.backup_job.metrics_export_enabled,aws.backup.backup_job.metrics_export_enabled,backup,backup,"boto3.client(""backup"")",,
aws,aws.backup.backup_plan.backup_vault_rbac_least_privilege,aws.backup.backup_plan.backup_vault_rbac_least_privilege,backup,backup,"boto3.client(""backup"")",,
