catalog_rule_id,service,category,compliance_ids,has_compliance_ids,config_covered,config_rule_ids,config_best_jaccard,ciem_covered,ciem_rule_ids,coverage_status,covered,ai_match_rule_id,ai_confidence,ai_reasoning
azure.aad.user.authentication.reconfirmation.period.check,aad,cis_control,cis_azure_azure_5.9_0166,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
"azure.active.directory.password.policy.reuse.24,.azure.devops.project.no.secrets.in.variables,.azure.devops.project.source.repo.url.no.sensitive.credentials,.azure.storage.bucket.enforces.ssl,.azure.load.balancer.ssl.listeners,.azure.search.service.domains.node.to.node.encryption.enabled,.azure.load.balancer.ssl.listeners,.azure.compute.ebs.default.encryption,.azure.sql.instance.storage.encrypted,.azure.machine.learning.notebook.instance.encryption.enabled,.azure.storage.bucket.default.encryption,.azure.files.encryption.at.rest.enabled,.azure.search.service.domains.encryption.at.rest.enabled,.azure.compute.ebs.volume.encryption,.azure.storage.bucket.kms.encryption,.azure.aks.cluster.kms.cmk.encryption.in.secrets.enabled,.azure.sql.snapshots.encrypted,.azure.cosmos.db.accelerator.cluster.encryption.enabled,.azure.cosmos.db.table.encryption.enabled,.azure.monitor.kms.encryption.enabled,.azure.monitor.log.group.kms.encryption.enabled,.azure.notification.hubs.topics.kms.encryption.at.rest.enabled,.azure.cosmos.db.tables.kms.cmk.encryption.enabled,.azure.synapse.cluster.audit.logging",active,security,pci_dss_v4_multi_cloud_8.2.6_0104;pci_dss_v4_multi_cloud_8.2.7_0105;pci_dss_v4_multi_cloud_8.2.8_0106,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.active.directory_tenant.identity_access_tenant_inuser_disable_threshold_configured,active,identity_access,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.ad.authentication.methods.policy.check,ad,cis_control,cis_azure_azure_5.5_0162,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.ad.conditionalaccess.token.protection.check,ad,cis_control,cis_azure_azure_5.2.8_0154,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.ad.group.creation.restriction.check,ad,cis_control,cis_azure_azure_5.19_0176,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.ad.guest.user.access.restriction.check,ad,cis_control,cis_azure_azure_5.15_0172,yes,no,,0.0,no,,ai_confirmed_gap,no,,none,"None of the config rules address guest user access restrictions in Azure AD, which is the specific security control required by the catalog rule."
azure.ad.password.reset.notification.check,ad,cis_control,cis_azure_azure_5.11_0168,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.ad.role.least_privilege:nan,ad,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.ad.security.lockout.duration.check,ad,cis_control,cis_azure_azure_5.7_0164,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
azure.ad.user.role.check.disabled,ad,cis_control,cis_azure_azure_5.3.5_0158,yes,no,,0.0,no,,ai_confirmed_gap,no,,none,"The catalog rule checks for disabled user role assignments, but none of the config rules address role assignment delegation or disabling in Azure AD."
azure.aks.authorization.mode.check,aks,cis_control,cis_azure_azure_3.2.2_0006,yes,no,azure.kubernetes.api_server.apiserver_authorization_mode_rbac,0.0,no,,config_naming_variant,yes,,,Both rules enforce RBAC authorization mode for AKS API server security on same resource type.
