cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,azure_mapped_compliance_functions,azure_mapped_compliance_ids
azure,azure.machine.learning_endpoint.ai_services_ai_endpoint_authn_required,azure.machine.learning_endpoint.ai_services_ai_endpoint_authn_required,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_endpoint.ai_services_ai_endpoint_authz_policies_enforced,azure.machine.learning_endpoint.ai_services_ai_endpoint_authz_policies_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_endpoint.ai_services_ai_endpoint_private_networking_enforced,azure.machine.learning_endpoint.ai_services_ai_endpoint_private_networking_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_endpoint.ai_services_ai_endpoint_rate_limiting_enabled,azure.machine.learning_endpoint.ai_services_ai_endpoint_rate_limiting_enabled,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_endpoint.ai_services_ai_endpoint_waf_attached,azure.machine.learning_endpoint.ai_services_ai_endpoint_waf_attached,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_endpoint.ai_services_prompt_gateway_authn_required,azure.machine.learning_endpoint.ai_services_prompt_gateway_authn_required,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_endpoint.ai_services_prompt_gateway_private_networking_enforced,azure.machine.learning_endpoint.ai_services_prompt_gateway_private_networking_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_endpoint.ai_services_prompt_gateway_token_scopes_least_privilege,azure.machine.learning_endpoint.ai_services_prompt_gateway_token_scopes_least_privilege,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_feature_store.ai_services_vector_index_authn_required,azure.machine.learning_feature_store.ai_services_vector_index_authn_required,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_feature_store.ai_services_vector_index_rbac_tenant_isolation_enforced,azure.machine.learning_feature_store.ai_services_vector_index_rbac_tenant_isolation_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_feature_store.ai_services_vector_index_private_networking_enforced,azure.machine.learning_feature_store.ai_services_vector_index_private_networking_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_feature_store.ai_services_vector_index_encrypted_at_rest_cmek,azure.machine.learning_feature_store.ai_services_vector_index_encrypted_at_rest_cmek,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_job.ai_services_training_pipeline_private_networking_enforced,azure.machine.learning_job.ai_services_training_pipeline_private_networking_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_job.ai_services_training_pipeline_secrets_from_vault_only,azure.machine.learning_job.ai_services_training_pipeline_secrets_from_vault_only,machine,ai_services,azure-mgmt-machine,,
