cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,ibm_mapped_compliance_functions,ibm_mapped_compliance_ids
ibm,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_authn_required,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_authn_required,watson,,ibm-cloud-sdk-core,ibm.watson.instance.encryption_enabled,"canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059;canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,fedramp_moderate_multi_cloud_CP-9_0160,fedramp_moderate_multi_cloud_CP-9_1_0161,fedramp_moderate_multi_cloud_CP-9_2_0162,fedramp_moderate_multi_cloud_CP-9_3_0163,fedramp_moderate_multi_cloud_CP-9_5_0164,fedramp_moderate_multi_cloud_CP-9_8_0165,nist_800_53_rev5_multi_cloud_CP-9-d_0512;fedramp_moderate_multi_cloud_CP-9_0160;fedramp_moderate_multi_cloud_CP-9_1_0161;fedramp_moderate_multi_cloud_CP-9_2_0162;fedramp_moderate_multi_cloud_CP-9_3_0163;fedramp_moderate_multi_cloud_CP-9_5_0164;fedramp_moderate_multi_cloud_CP-9_8_0165;nist_800_53_rev5_multi_cloud_CP-9-d_0512"
ibm,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_authz_policies_enforced,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_authz_policies_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_private_networking_enforced,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_private_networking_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_rate_limiting_enabled,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_rate_limiting_enabled,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_waf_attached,ibm.watson.machine_learning_deployment.ai_services_ai_endpoint_waf_attached,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_deployment.ai_services_prompt_gateway_authn_required,ibm.watson.machine_learning_deployment.ai_services_prompt_gateway_authn_required,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_deployment.ai_services_prompt_gateway_private_networking_enforced,ibm.watson.machine_learning_deployment.ai_services_prompt_gateway_private_networking_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_deployment.ai_services_prompt_gateway_token_scopes_least_privilege,ibm.watson.machine_learning_deployment.ai_services_prompt_gateway_token_scopes_least_privilege,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_feature_store.ai_services_vector_index_authn_required,ibm.watson.machine_learning_feature_store.ai_services_vector_index_authn_required,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_feature_store.ai_services_vector_index_rbac_tenant_isolation_enforced,ibm.watson.machine_learning_feature_store.ai_services_vector_index_rbac_tenant_isolation_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_feature_store.ai_services_vector_index_private_networking_enforced,ibm.watson.machine_learning_feature_store.ai_services_vector_index_private_networking_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_feature_store.ai_services_vector_index_encrypted_at_rest_cmek,ibm.watson.machine_learning_feature_store.ai_services_vector_index_encrypted_at_rest_cmek,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_training_job.ai_services_training_pipeline_private_networking_enforced,ibm.watson.machine_learning_training_job.ai_services_training_pipeline_private_networking_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_training_job.ai_services_training_pipeline_secrets_from_vault_only,ibm.watson.machine_learning_training_job.ai_services_training_pipeline_secrets_from_vault_only,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_pipeline.ai_services_data_pipeline_access_controls_least_privilege,ibm.watson.machine_learning_pipeline.ai_services_data_pipeline_access_controls_least_privilege,watson,,ibm-cloud-sdk-core,,
