catalog_rule_id,service,category,compliance_ids,has_compliance_ids,config_covered,config_rule_ids,config_best_jaccard,ciem_covered,ciem_rule_ids,coverage_status,covered,ai_match_rule_id,ai_confidence,ai_reasoning
k8s.admission.controller_configuration_validation,admission,security,nist_800_53_rev5_multi_cloud_CM-6-c_0399,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.admission.controller_security_updates_applied,admission,security,nist_800_171_r2_multi_cloud_3_14_4_3.14.4_Update_malicious_code_protection_me_0017,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.audited,admission.kyverno_policy,,cis_kubernetes_kubernetes_1.2.13_0034,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.kyverno_enabled_validated,admission.kyverno_policy,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.policy_count_validated,admission.kyverno_policy,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.audited,admission.mutating_webhook,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.enabled,admission.mutating_webhook,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.tls_validation_validated,admission.mutating_webhook,,cis_kubernetes_kubernetes_1.2.16_0037,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.webhook_secured_validated,admission.mutating_webhook,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.audited,admission.opa_constraint,,cis_kubernetes_kubernetes_1.6.8_0177,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.constraint_count_validated,admission.opa_constraint,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.constraint_templates_validated,admission.opa_constraint,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.enabled,admission.opa_constraint,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.audited,admission.opa_constraint,,cis_kubernetes_kubernetes_3.1.9_0202,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.enabled,admission.opa_constraint,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.rollback_capability_validated,admission.opa_constraint,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.version_control_validated,admission.opa_constraint,,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
