cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,k8s_mapped_compliance_functions,k8s_mapped_compliance_ids
k8s,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.audited,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.audited,api.admission_controller,,kubernetes,k8s.admission.control_hostipc_restriction,cis_kubernetes_kubernetes_5.2.4_0116
k8s,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.builtin_controllers_validated,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.builtin_controllers_validated,api.admission_controller,,kubernetes,k8s.admission.control_windows_hostprocess_restriction,cis_kubernetes_kubernetes_5.2.11_0123
k8s,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.configuration_validated_validated,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.configuration_validated_validated,api.admission_controller,,kubernetes,k8s.pod.policy.configuration_check,cis_kubernetes_kubernetes_1.6.2_0171
k8s,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.enabled,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.enabled,api.admission_controller,,kubernetes,k8s.policy.control_mechanisms_check,cis_kubernetes_kubernetes_5.2.1_0113
k8s,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.enforced,k8s.k8s.admission_policy_enforcement.admission_control.builtin_controllers_enabled.enforced,api.admission_controller,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.audited,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.audited,api.admission_controller,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.enabled,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.enabled,api.admission_controller,,kubernetes,k8s.pod.security_admission_hostport_restrictions,cis_kubernetes_kubernetes_5.2.13_0125
k8s,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.enforced,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.enforced,api.admission_controller,,kubernetes,k8s.api.server_admission_plugins_podsecuritypolicy_check,cis_kubernetes_kubernetes_1.1.25_0144
k8s,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.pod_security_admission_validated,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.pod_security_admission_validated,api.admission_controller,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.pod_security_standards_validated,k8s.k8s.admission_policy_enforcement.admission_controllers.pod_security_enforced.pod_security_standards_validated,api.admission_controller,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.audited,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.audited,admission.kyverno_policy,,kubernetes,k8s.apiserver.admission_plugin_serviceaccount_check,cis_kubernetes_kubernetes_1.2.13_0034
k8s,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.enabled,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.enabled,admission.kyverno_policy,,kubernetes,k8s.api.server_admission_plugins_check,cis_kubernetes_kubernetes_1.2.10_0031
k8s,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.kyverno_enabled_validated,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.kyverno_enabled_validated,admission.kyverno_policy,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.policy_count_validated,k8s.k8s.admission_policy_enforcement.kyverno_policies.policy_enforcement_enabled.policy_count_validated,admission.kyverno_policy,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.audited,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.audited,admission.mutating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.enabled,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.enabled,admission.mutating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.tls_validation_validated,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.tls_validation_validated,admission.mutating_webhook,,kubernetes,k8s.api.server_secure_port_validation,cis_kubernetes_kubernetes_1.2.16_0037
k8s,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.webhook_secured_validated,k8s.k8s.admission_policy_enforcement.mutating_admission_webhooks.secure_webhooks_enforced.webhook_secured_validated,admission.mutating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.audited,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.audited,admission.opa_constraint,,kubernetes,k8s.api.policy.webhook_configured,cis_kubernetes_kubernetes_1.6.8_0177
k8s,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.constraint_count_validated,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.constraint_count_validated,admission.opa_constraint,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.constraint_templates_validated,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.constraint_templates_validated,admission.opa_constraint,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.enabled,k8s.k8s.admission_policy_enforcement.opa_gatekeeper.constraints_configured.enabled,admission.opa_constraint,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.audited,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.audited,admission.opa_constraint,,kubernetes,k8s.api.server_enable_admission_plugins_namespace_lifecycle_check,cis_kubernetes_kubernetes_3.1.9_0202
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.enabled,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.enabled,admission.opa_constraint,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.rollback_capability_validated,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.rollback_capability_validated,admission.opa_constraint,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.version_control_validated,k8s.k8s.admission_policy_enforcement.policy_governance.policy_lifecycle_managed.version_control_validated,admission.opa_constraint,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.audited,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.audited,admission.validating_webhook,,kubernetes,k8s.api.policy.verification,cis_kubernetes_kubernetes_3.2.2_0073
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.automated_testing_validated,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.automated_testing_validated,admission.validating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.enabled,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.enabled,admission.validating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.test_coverage_threshold_validated,k8s.k8s.admission_policy_enforcement.policy_governance.policy_testing_enabled.test_coverage_threshold_validated,admission.validating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.audited,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.audited,admission.validating_webhook,,kubernetes,k8s.api.policy.webhook_enabled,cis_kubernetes_kubernetes_5.5.1_0130
k8s,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.enabled,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.enabled,admission.validating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.webhook_count_validated,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.webhook_count_validated,admission.validating_webhook,,kubernetes,,
k8s,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.webhook_failure_policy_validated,k8s.k8s.admission_policy_enforcement.validating_admission_webhooks.webhook_validation_enabled.webhook_failure_policy_validated,admission.validating_webhook,,kubernetes,,
k8s,k8s.k8s.cluster_component_security.api_server_security.anonymous_access_disabled.anonymous_auth_validated,k8s.k8s.cluster_component_security.api_server_security.anonymous_access_disabled.anonymous_auth_validated,api.api_server,,kubernetes,k8s.kubelet.anonymous_auth_disabled;k8s.api.server_pod_anonymous_auth_disabled,cis_kubernetes_kubernetes_2.1.2_0179;cis_kubernetes_kubernetes_1.2.1_0022
